Griffin and Sabine (Griffin & Sabine #1),Nick Bantock,3.99,63514,1991,art,www.goodreads.com//book/show/381102.Griffin_and_Sabine
Frida: A Biography of Frida Kahlo (Paperback),Hayden Herrera,3.94,106828,1983,art,www.goodreads.com//book/show/91767.Frida
The Art Spirit: Notes_ Articles_ Fragments of Letters and Talks to Students_ Bearing on the Concept and Technique of Picture Making_ the Study of Art (Icon Editions),Robert Henri,3.86,32716,1929,art,www.goodreads.com//book/show/207781.The_Art_Spirit
Amphigorey (Amphigorey_ #1),Edward Gorey,4.06,61225,1972,art,www.goodreads.com//book/show/47559.Amphigorey
Andy Goldsworthy: A Collaboration with Nature (Hardcover),Andy Goldsworthy,3.9,54880,1990,art,www.goodreads.com//book/show/60431.Andy_Goldsworthy
Camera Lucida: Reflections on Photography (Paperback),Roland Barthes,3.93,41722,1980,art,www.goodreads.com//book/show/497164.Camera_Lucida
Figure Drawing for All It's Worth (How to draw and paint),Andrew Loomis,3.98,30050,1943,art,www.goodreads.com//book/show/147941.Figure_Drawing_for_All_It_s_Worth
The Da Vinci Code (Robert Langdon_ #2),Dan Brown,3.8,1888998,2003,art,www.goodreads.com//book/show/968.The_Da_Vinci_Code
The Power of Art (Hardcover),Simon Schama,3.87,30348,2006,art,www.goodreads.com//book/show/19797.The_Power_of_Art
The Lost Painting (Paperback),Jonathan Harr,3.72,39410,2005,art,www.goodreads.com//book/show/27398.The_Lost_Painting
Steve Jobs (Hardcover),Walter Isaacson,4.1,1320264,2011,biography,www.goodreads.com//book/show/11084145-steve-jobs
The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.11,2966744,1947,biography,www.goodreads.com//book/show/48855.The_Diary_of_a_Young_Girl
Unbroken: A World War II Story of Survival_ Resilience and Redemption (Hardcover),Laura Hillenbrand,4.37,906223,2010,biography,www.goodreads.com//book/show/8664353-unbroken
John Adams (Paperback),David McCullough,4.05,438024,2001,biography,www.goodreads.com//book/show/2203.John_Adams
Bossypants (Kindle Edition),Tina Fey,3.95,947642,2011,biography,www.goodreads.com//book/show/9418327-bossypants
The Immortal Life of Henrietta Lacks (Hardcover),Rebecca Skloot,4.04,776778,2010,biography,www.goodreads.com//book/show/6493208-the-immortal-life-of-henrietta-lacks
Into the Wild (Paperback),Jon Krakauer,3.96,1098558,1996,biography,www.goodreads.com//book/show/1845.Into_the_Wild
Elon Musk: Tesla_ SpaceX_ and the Quest for a Fantastic Future (Hardcover),Ashlee Vance,4.23,239248,2015,biography,www.goodreads.com//book/show/25541028-elon-musk
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban (Hardcover),Malala Yousafzai,4.08,729237,2012,biography,www.goodreads.com//book/show/17851885-i-am-malala
The Autobiography of Malcolm X (Paperback),Malcolm X,4.29,290324,1965,biography,www.goodreads.com//book/show/92057.The_Autobiography_of_Malcolm_X
Night (The Night Trilogy_ #1),Elie Wiesel,4.31,1084865,1958,biography,www.goodreads.com//book/show/1617.Night
Benjamin Franklin: An American Life (Paperback),Walter Isaacson,3.97,247773,2004,biography,www.goodreads.com//book/show/10883.Benjamin_Franklin
Alexander Hamilton (Paperback),Ron Chernow,4.21,196865,2004,biography,www.goodreads.com//book/show/16130.Alexander_Hamilton
Yes Please (Hardcover),Amy Poehler,3.81,637388,2014,biography,www.goodreads.com//book/show/20910157-yes-please
The Glass Castle (Paperback),Jeannette Walls,4.25,1043715,2005,biography,www.goodreads.com//book/show/7445.The_Glass_Castle
Catherine the Great: Portrait of a Woman (Hardcover),Robert K. Massie,3.9,255662,2011,biography,www.goodreads.com//book/show/10414941-catherine-the-great
Surely You're Joking_ Mr. Feynman!: Adventures of a Curious Character (Paperback),Richard Feynman,4.28,199665,1985,biography,www.goodreads.com//book/show/5544.Surely_You_re_Joking_Mr_Feynman_
Angela's Ashes (Frank McCourt_ #1),Frank McCourt,4.09,576611,1996,biography,www.goodreads.com//book/show/252577.Angela_s_Ashes
Team of Rivals: The Political Genius of Abraham Lincoln (Paperback),Doris Kearns Goodwin,4.27,280546,2005,biography,www.goodreads.com//book/show/2199.Team_of_Rivals
Bonhoeffer: Pastor_ Martyr_ Prophet_ Spy (Hardcover),Eric Metaxas,4.22,104067,2009,biography,www.goodreads.com//book/show/7501962-bonhoeffer
The Autobiography of Benjamin Franklin (Paperback),Benjamin Franklin,3.8,111403,1791,biography,www.goodreads.com//book/show/52309.The_Autobiography_of_Benjamin_Franklin
